name,company,year,Price,kms_driven,fuel_type
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,"4,24,999","2,550 kms",Petrol
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,"1,35,000","47,000 kms",Petrol
Honda City 1.5 E MT,Honda,2005,"95,000","41,000 kms",Petrol
Nissan Micra XL,Nissan,2017,"4,30,000","62,500 kms",Diesel
Honda City 1.5 S Inspire,Honda,2005,"1,15,000","68,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2015,"2,15,000","50,000 kms",Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2004,"53,000","69,000 kms",Petrol
Maruti Suzuki Ertiga VDi,Maruti,2012,"5,00,000","48,000 kms",Diesel
Tata Indica eV2 eXeta eGLX,Tata,2012,"85,000","55,000 kms",Diesel
Maruti Suzuki Omni E 8 STR BS IV,Maruti,2013,"1,65,000","25,000 kms",Petrol
Hyundai Eon Era Plus,Hyundai,2014,"2,00,000","28,400 kms",Petrol
Hyundai Eon,Hyundai,2014,"2,00,000","28,000 kms",Petrol
Maruti Suzuki Swift LDi,Maruti,2015,"4,25,000","42,000 kms",Diesel
MARUTI SUZUKI ERTIGA F,MARUTI,SALE,"6,50,000",,
Hyundai Verna 1.6 CRDI SX Plus AT,Hyundai,2012,"6,00,000","29,000 kms",Diesel
Chevrolet Tavera LS B3 10 Seats BSII,Chevrolet,2005,"1,30,000","68,485 kms",Diesel
Tata Tiago Revotron XM,Tata,2018,"4,30,000","3,500 kms",Petrol
Tata Tiago Revotorq XZ,Tata,2019,"5,68,500",0 kms,Petrol
Tata Nexon,Tata,2019,Ask For Price,0 kms,Petrol
Tata,Tata,digo,Ask For Price,,
Maruti Suzuki Zen LXi BS III,Maruti,2006,"71,000","32,000 kms",Petrol
Mahindra KUV100 K8 D 6 STR,Mahindra,2018,"5,60,000","8,000 kms",Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,"5,90,000","34,000 kms",Diesel
Hindustan Motors Ambassador Classic Mark 4 – Befo,Hindustan,1995,"7,50,000","37,000 kms",Petrol
Ford Fusion 1.4 TDCi Diesel,Ford,2007,"1,25,000","85,455 kms",Diesel
Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,2007,"1,35,000","46,000 kms",Petrol
Hyundai Santro,Hyundai,2002,"60,000","47,000 kms",Petrol
Fiat Linea Emotion 1.4 L T Jet Petrol,Fiat,2009,"1,20,000","64,000 kms",Petrol
Ford Ikon 1.3 Flair Josh 100,Ford,2008,"95,000","46,000 kms",Petrol
Maruti Suzuki Omni E 8 STR BS IV,Maruti,2017,"2,40,000","8,000 kms",Petrol
Tata Indica V2 LS,Tata,2012,"1,15,000","64,000 kms",Diesel
Mahindra Scorpio S4,Mahindra,2015,"7,95,000","63,000 kms",Diesel
Hyundai Santro Xing XL eRLX Euro III,Hyundai,2007,"55,000","65,000 kms",Petrol
Mahindra Xylo D2,Mahindra,2009,"3,00,000","62,000 kms",Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2014,"3,20,000","41,000 kms",Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2015,"2,65,000","14,000 kms",Petrol
Toyota Corolla,Toyota,2006,"1,60,000","40,000 kms",Petrol
Hyundai Eon Magna,Hyundai,2017,"3,00,000","1,600 kms",Petrol
Tata Sumo Grande MKII GX,Tata,2010,"1,30,000","90,000 kms",Diesel
Maruti Suzuki Swift VDi,Maruti,2011,"2,50,000","58,000 kms",Diesel
Volkswagen Polo Highline1.2L P,Volkswagen,2013,"3,80,000","27,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2003,"42,000","60,000 kms",Petrol
Tata Tiago Revotron XZ,Tata,2017,"4,00,000","31,000 kms",Petrol
Maruti Suzuki Swift LDi,Maruti,2009,"1,20,000","90,000 kms",Diesel
Maruti Suzuki Swift VDi,Maruti,2009,"1,20,000","90,000 kms",Diesel
Tata Indigo eCS,Tata,2016,"1,30,000","1,50,000 kms",Diesel
Chevrolet Beat LS Diesel,Chevrolet,2014,"1,89,000","31,000 kms",Diesel
2012 Tata Sumo Gold f,2012,sell,"2,50,000",,
Mahindra Xylo E8 BS IV,Mahindra,2011,"3,65,000","43,000 kms",Diesel
Hyundai Eon D Lite Plus,Hyundai,2013,"1,70,000","20,000 kms",Petrol
Well mentained Tata Sumo,Well,d Ex,"3,80,000",,
all paper updated tata indica v2 and u,all,n...,"1,45,000",,
Maruti Ertiga showroom condition with,Maruti,e...,"4,80,000",,
7 SEATER MAHINDRA BOLERO IN VERY GOOD,7,D...,Ask For Price,,
9 SEATER MAHINDRA BOL,9,", Ac",Ask For Price,,
scratch less Tata I,scratch,go .,"1,40,000",,
Maruti Suzuki swift dzire for sale in,Maruti,d...,"3,60,000",,
Commercial Chevrolet beat for sale in,Commercial,k...,"1,80,000",,
urgent sell my Mahindra qu,urgent,o c4,"3,50,000",,
Tata Sumo Gold FX BSIII,Tata,2013,"2,15,000","1,00,000 kms",Petrol
sell my car Maruti Suzuki Swif,sell,zire,"3,00,000",,
Maruti Suzuki Swift Dzire good car fo,Maruti,o...,"3,10,000",,
Hyunda,Hyundai,cent,Ask For Price,,
Commercial Maruti Suzuki Alto Lxi 800,Commercial,...,Ask For Price,,
urgent sale Ta,urgent,Sumo,"2,20,000",,
Maruti Suzuki Alto vxi t,Maruti,cab,"95,000",,
tata,tata,t xe,Ask For Price,,
TATA INDI,TATA,EV2,"1,10,000",,
Tata Nano,Tata,2013,"60,000","7,000 kms",Petrol
Hyundai Elite i20,Hyundai,2017,"5,99,999","31,000 kms",Petrol
Hyundai i10 Magna 1.2 Kappa2,Hyundai,2009,"4,00,000","33,000 kms",Petrol
Hyundai Creta,Hyundai,2016,"9,00,000","60,000 kms",Diesel
Volkswagen Polo,Volkswagen,2013,"2,99,999","48,000 kms",Diesel
Maruti Suzuki Dzire,Maruti,2014,"3,74,999","33,000 kms",Petrol
Tata Bolt XM Petrol,Tata,2015,"6,00,000","15,000 kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2005,"70,000","47,000 kms",Petrol
Maruti Suzuki Alto,Maruti,2005,"1,00,000","40,000 kms",Petrol
Hyundai Venue,Hyundai,2019,Ask For Price,"7,000 kms",Diesel
Maruti Suzuki Ritz,Maruti,2010,"1,50,000","38,000 kms",Diesel
Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,25,000","12,500 kms",Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,10,000","42,000 kms",Petrol
Renault Lodgy,Renault,2016,Ask For Price,"20,000 kms",Diesel
Hyundai i20 Asta,Hyundai,2014,"4,25,000","31,000 kms",Petrol
Maruti Suzuki Swift Select Variant,Maruti,2008,"1,62,000","60,000 kms",Diesel
Tata Indica V2 DLX BS III,Tata,2005,"60,000","80,000 kms",Diesel
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,2014,"6,50,000","77,000 kms",Diesel
Toyota Innova 2.5 E 8 STR,Toyota,2012,"7,50,000","75,000 kms",Diesel
Mahindra Xylo E8,Mahindra,2010,"3,75,000","40,000 kms",Diesel
Hyundai i20 Magna 1.2,Hyundai,2011,"2,30,000","47,000 kms",Petrol
Maruti Suzuki Omni,Maruti,2000,"35,999","60,000 kms",Petrol
Mahindra KUV100,Mahindra,2016,"3,80,000","26,500 kms",Petrol
Mahindra KUV100 K8 6 STR,Mahindra,2019,"5,60,000","2,875 kms",Petrol
Datsun Go Plus,Datsun,2016,"2,85,000","13,900 kms",Petrol
Ford Endeavor 4x4 Thunder Plus,Ford,2019,"29,00,000","9,000 kms",Diesel
Tata Indica V2,Tata,2005,"39,999","80,000 kms",Diesel
Hyundai Santro Xing GL,Hyundai,2006,"85,000","60,000 kms",Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2016,"3,95,000","20,000 kms",Petrol
Maruti Suzuki Swift Select Variant,Maruti,2008,"1,75,000","58,000 kms",Diesel
Maruti Suzuki Alto 800 Lx,Maruti,2019,"4,00,000","1,500 kms",Petrol
Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,2011,"7,50,000","75,000 kms",Diesel
Any type car avaiabel hare...comercica,Any,r...,"1,70,000",,
Maruti Suzuki Alto 800,Maruti,2016,"2,50,000","2,450 kms",Petrol
Maruti Suzuki Alto AX,Maruti,2019,"4,25,000","1,625 kms",Petrol
Maruti Suzuki Alto 800 Lx,Maruti,2019,Ask For Price,"1,500 kms",Petrol
Volkswagen Polo Highline1.2L P,Volkswagen,2017,"5,25,000","45,000 kms",Petrol
Mahindra Logan,Mahindra,2009,"1,30,000","65,000 kms",Diesel
Maruti Suzuki 800 Std BS III,Maruti,2000,"30,000","33,400 kms",Petrol
Mahindra Scorpio,Mahindra,2011,"4,75,000","60,123 kms",Diesel
Chevrolet Sail 1.2 LS,Chevrolet,2013,"3,00,000","28,000 kms",Petrol
Volkswagen Vento Highline Plus 1.5 Diesel,Volkswagen,2015,Ask For Price,"38,900 kms",Diesel
Hyundai Santro AE GLS Audio,Hyundai,2003,"60,000","70,000 kms",Petrol
Maruti Suzuki Wagon R VXi Minor,Maruti,2006,"1,00,000","7,000 kms",Petrol
Hyundai Eon,Hyundai,2018,"2,60,000","25,000 kms",Petrol
Tata Manza,Tata,2015,"1,00,000","1,00,000 kms",Diesel
Toyota Innova 2.0 G1 Petrol 8seater,Toyota,2019,Ask For Price,"4,000 kms",Petrol
Toyota Etios G,Toyota,2013,"2,65,000","42,000 kms",Petrol
Hyundai Getz Prime 1.3 GLX,Hyundai,2009,"1,15,000","20,000 kms",Petrol
Toyota Qualis,Toyota,2003,"1,80,000","1,00,000 kms",Diesel
Hyundai Santro Xing,Hyundai,2004,"45,000","1,37,495 kms",Petrol
Tata Indica eV2 LS,Tata,2016,"50,500","91,200 kms",Diesel
Honda City 1.5 S MT,Honda,2009,"2,70,000","55,000 kms",Petrol
Tata Zest XE 75 PS Diesel,Tata,2017,"2,90,000","1,20,000 kms",Diesel
Mahindra Quanto C4,Mahindra,2013,"3,25,000","63,000 kms",Diesel
Tata Indigo eCS LX CR4 BS IV,Tata,2016,"1,60,000","1,04,000 kms",Diesel
Maruti Suzuki Swift Dzire,Maruti,2016,"3,50,000","1,46,000 kms",Diesel
Hyundai Elite i20,Hyundai,2011,"2,90,000","40,000 kms",Petrol
Hyundai i20 Select Variant,Hyundai,2011,"2,90,000","40,000 kms",Petrol
Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000","1,00,800 kms",Diesel
Maruti Suzuki Dzire,Maruti,2016,"3,25,000","1,50,000 kms",Diesel
Hyundai Elite i20,Hyundai,2018,"5,10,000","2,100 kms",Petrol
Honda City VX Petrol,Honda,2016,"8,60,000","95,000 kms",Petrol
Maruti Suzuki Dzire,Maruti,2016,"4,50,000","2,500 kms",Diesel
Hyundai Getz,Hyundai,2006,"1,25,000","80,000 kms",Petrol
Mercedes Benz C Class 200 K MT,Mercedes,2006,"5,00,001","15,000 kms",Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2005,"95,000","65,000 kms",Petrol
Maruti Suzuki Swift Dzire Tour VDi,Maruti,2009,"2,50,000","51,000 kms",Diesel
Skoda Fabia,Skoda,2009,"1,10,000","45,000 kms",Petrol
Maruti Suzuki Alto 800 Select Variant,Maruti,2015,Ask For Price,"70,000 kms",Petrol
Maruti Suzuki Ritz VXI ABS,Maruti,2011,"2,70,000","50,000 kms",Petrol
tata zest 2017 f,tata,sale,"4,50,000",,
Tata Indica V2 DLE BS III,Tata,2009,"1,10,000","30,000 kms",Diesel
Toyota Corolla Altis,Toyota,2009,"3,00,000","1,32,000 kms",Petrol
Ta,Tara,zest,"3,10,000",,
Tata Zest XM Diesel,Tata,2018,"2,60,000","27,000 kms",Diesel
Mahindra Quanto C8,Mahindra,2013,"3,90,000","40,000 kms",Diesel
Honda Amaze 1.2 E i VTEC,Honda,2014,"1,80,000",Petrol,
Chevrolet Sail 1.2 LT ABS,Chevrolet,2014,"1,60,000",Petrol,
Kia Sonet,Kia,Sonet,2016,11434,Petrol,Automatic,950769
Maruti Alto,Maruti,Alto,2010,59339,Petrol,Automatic,1199682
Volkswagen Vento,Volkswagen,Vento,2011,197225,Diesel,Automatic,618562
Toyota Innova,Toyota,Innova,2023,181700,Petrol,Automatic,220184
Volkswagen Polo,Volkswagen,Polo,2019,17952,Petrol,Automatic,1304059
Honda Jazz,Honda,Jazz,2016,168788,CNG,Automatic,448502
Volkswagen Vento,Volkswagen,Vento,2020,21349,CNG,Automatic,791808
Tata Tiago,Tata,Tiago,2008,79909,CNG,Automatic,325599
Maruti Baleno,Maruti,Baleno,2022,53288,Diesel,Automatic,270538
Tata Harrier,Tata,Harrier,2022,94996,Diesel,Manual,151826
Ford Endeavour,Ford,Endeavour,2009,60783,Petrol,Automatic,1177472
Renault Kwid,Renault,Kwid,2009,169711,Diesel,Automatic,255242
Mahindra XUV500,Mahindra,XUV500,2012,193801,Diesel,Manual,58987
Tata Harrier,Tata,Harrier,2010,179757,CNG,Manual,551395
Honda City,Honda,City,2010,179243,CNG,Automatic,685401
Hyundai i10,Hyundai,i10,2023,49478,Diesel,Manual,1215906
Tata Harrier,Tata,Harrier,2007,62422,Petrol,Automatic,1187702
Kia Seltos,Kia,Seltos,2018,29790,Petrol,Manual,1152298
Ford EcoSport,Ford,EcoSport,2020,52382,CNG,Automatic,1343824
Hyundai Verna,Hyundai,Verna,2010,108661,Petrol,Manual,1178538
Renault Kwid,Renault,Kwid,2012,47274,Petrol,Manual,1194520
Toyota Fortuner,Toyota,Fortuner,2017,70500,CNG,Automatic,1091826
Mahindra XUV300,Mahindra,XUV300,2020,81301,Diesel,Manual,279441
Hyundai i20,Hyundai,i20,2010,124877,Petrol,Automatic,123967
Volkswagen Polo,Volkswagen,Polo,2007,159724,Petrol,Automatic,978005
Volkswagen Vento,Volkswagen,Vento,2014,102223,Petrol,Manual,1122592
Kia Sonet,Kia,Sonet,2007,146297,CNG,Automatic,311364
Maruti Baleno,Maruti,Baleno,2019,116758,Diesel,Manual,612833
Honda City,Honda,City,2007,20535,Petrol,Automatic,1194974
Kia Sonet,Kia,Sonet,2005,190042,CNG,Manual,1082681
Tata Nexon,Tata,Nexon,2009,65606,Petrol,Manual,881855
Hyundai i10,Hyundai,i10,2021,147872,Diesel,Automatic,307575
Ford EcoSport,Ford,EcoSport,2018,167469,CNG,Manual,1106732
Toyota Fortuner,Toyota,Fortuner,2022,180864,Petrol,Automatic,200771
Mahindra XUV300,Mahindra,XUV300,2006,157622,CNG,Manual,777478
Volkswagen Polo,Volkswagen,Polo,2011,157715,CNG,Automatic,1171671
Renault Duster,Renault,Duster,2019,37650,Petrol,Manual,674177
Mahindra XUV500,Mahindra,XUV500,2019,164286,Diesel,Automatic,1160820
Toyota Innova,Toyota,Innova,2012,41885,Petrol,Manual,609660
Honda Amaze,Honda,Amaze,2014,7793,Petrol,Manual,1299287
Tata Harrier,Tata,Harrier,2017,114564,CNG,Automatic,728546
Volkswagen Vento,Volkswagen,Vento,2016,197566,Petrol,Automatic,566519
Renault Duster,Renault,Duster,2011,138269,CNG,Automatic,291342
Mahindra XUV300,Mahindra,XUV300,2023,172070,CNG,Automatic,1084444
Renault Duster,Renault,Duster,2017,183603,Petrol,Automatic,900531
Mahindra XUV500,Mahindra,XUV500,2012,174614,Diesel,Manual,105668
Ford EcoSport,Ford,EcoSport,2021,145249,Petrol,Automatic,847181
Ford EcoSport,Ford,EcoSport,2019,111691,Diesel,Automatic,1003398
Ford EcoSport,Ford,EcoSport,2015,25790,Diesel,Automatic,822455
Ford Endeavour,Ford,Endeavour,2009,124145,CNG,Automatic,1136574
Mahindra Scorpio,Mahindra,Scorpio,2011,42211,Diesel,Manual,961419
Mahindra XUV500,Mahindra,XUV500,2010,59909,Diesel,Manual,983524
Toyota Fortuner,Toyota,Fortuner,2005,182306,Diesel,Manual,942440
Renault Duster,Renault,Duster,2009,162342,CNG,Manual,169934
Toyota Glanza,Toyota,Glanza,2018,104799,Petrol,Automatic,806633
Hyundai i20,Hyundai,i20,2012,85950,Diesel,Manual,805578
Kia Sonet,Kia,Sonet,2023,47406,CNG,Manual,501167
Hyundai Verna,Hyundai,Verna,2023,59673,CNG,Automatic,195912
Maruti Dzire,Maruti,Dzire,2007,138723,Diesel,Manual,311082
Hyundai Verna,Hyundai,Verna,2020,33491,Diesel,Manual,413022
Tata Harrier,Tata,Harrier,2017,182996,CNG,Manual,129371
Renault Duster,Renault,Duster,2021,64334,Diesel,Manual,802877
Hyundai Verna,Hyundai,Verna,2011,163613,Petrol,Manual,294647
Honda Amaze,Honda,Amaze,2013,36160,CNG,Manual,866234
Kia Seltos,Kia,Seltos,2010,142913,Diesel,Manual,864789
Renault Kwid,Renault,Kwid,2019,141503,CNG,Automatic,826276
Renault Duster,Renault,Duster,2008,110239,Petrol,Manual,100423
Honda Jazz,Honda,Jazz,2020,186818,Petrol,Automatic,808748
Renault Kwid,Renault,Kwid,2013,179926,CNG,Automatic,876868
Ford Endeavour,Ford,Endeavour,2021,9323,Petrol,Manual,1249561
Ford Endeavour,Ford,Endeavour,2017,48303,Diesel,Automatic,475794
Volkswagen Vento,Volkswagen,Vento,2005,58150,Petrol,Manual,904682
Tata Altroz,Tata,Altroz,2021,69318,Diesel,Automatic,365871
Kia Sonet,Kia,Sonet,2012,80595,Petrol,Manual,269539
Maruti Swift,Maruti,Swift,2013,184365,CNG,Automatic,619650
Honda Jazz,Honda,Jazz,2008,145186,CNG,Manual,976506
Hyundai Verna,Hyundai,Verna,2022,191345,Diesel,Manual,874563
Toyota Glanza,Toyota,Glanza,2017,33198,CNG,Automatic,539506
Kia Seltos,Kia,Seltos,2019,99048,Diesel,Automatic,964470
Mahindra XUV500,Mahindra,XUV500,2015,33427,CNG,Automatic,583398
Toyota Glanza,Toyota,Glanza,2009,28838,Petrol,Automatic,552442
Honda Jazz,Honda,Jazz,2012,45423,Petrol,Automatic,50000
Kia Seltos,Kia,Seltos,2020,159861,Petrol,Manual,696104
Hyundai Creta,Hyundai,Creta,2007,178818,Diesel,Automatic,50000
Hyundai Verna,Hyundai,Verna,2019,79683,CNG,Automatic,568294
Kia Sonet,Kia,Sonet,2017,30429,Diesel,Automatic,614288
Renault Kwid,Renault,Kwid,2005,177222,CNG,Automatic,645903
Mahindra XUV500,Mahindra,XUV500,2006,194470,Diesel,Automatic,1045746
Renault Kwid,Renault,Kwid,2009,11420,Diesel,Manual,1216360
Ford Endeavour,Ford,Endeavour,2008,64069,Diesel,Automatic,1285121
Volkswagen Polo,Volkswagen,Polo,2022,100443,Diesel,Manual,1007218
Kia Sonet,Kia,Sonet,2015,119839,CNG,Manual,367938
Hyundai i10,Hyundai,i10,2013,123152,Diesel,Automatic,750167
Renault Duster,Renault,Duster,2015,89828,CNG,Manual,632384
Honda Jazz,Honda,Jazz,2013,157845,CNG,Automatic,1094213
Renault Kwid,Renault,Kwid,2022,8830,CNG,Manual,543013
Toyota Glanza,Toyota,Glanza,2014,76350,CNG,Manual,1358372
Ford Endeavour,Ford,Endeavour,2023,198558,CNG,Manual,1097916
Toyota Glanza,Toyota,Glanza,2018,86806,Diesel,Manual,1233358
Tata Nexon,Tata,Nexon,2020,88328,CNG,Manual,1388922
Tata Harrier,Tata,Harrier,2007,153188,Diesel,Manual,208873
Toyota Fortuner,Toyota,Fortuner,2009,136703,Diesel,Manual,356045
Maruti Alto,Maruti,Alto,2013,63617,CNG,Manual,703676
Hyundai Creta,Hyundai,Creta,2005,36994,Diesel,Automatic,1008783
Renault Duster,Renault,Duster,2022,112394,Diesel,Manual,1364549
Maruti WagonR,Maruti,WagonR,2012,61562,CNG,Manual,1331084
Ford EcoSport,Ford,EcoSport,2015,109730,Petrol,Automatic,359875
Hyundai Creta,Hyundai,Creta,2022,57642,Petrol,Manual,1438824
Mahindra XUV300,Mahindra,XUV300,2021,124533,CNG,Automatic,671457
Tata Nexon,Tata,Nexon,2013,145139,CNG,Manual,1072685
Maruti Dzire,Maruti,Dzire,2020,80958,Petrol,Manual,991805
Ford EcoSport,Ford,EcoSport,2015,130648,Petrol,Manual,1040020
Ford Endeavour,Ford,Endeavour,2021,24449,CNG,Manual,378333
Renault Kwid,Renault,Kwid,2016,187532,Petrol,Manual,1288716
Tata Altroz,Tata,Altroz,2015,102750,CNG,Manual,164313
Maruti Alto,Maruti,Alto,2005,27854,CNG,Manual,50000
Maruti Baleno,Maruti,Baleno,2011,111991,Petrol,Manual,210530
Toyota Fortuner,Toyota,Fortuner,2013,44114,Diesel,Automatic,819738
Renault Duster,Renault,Duster,2012,196924,Petrol,Manual,1273927
Volkswagen Vento,Volkswagen,Vento,2005,157081,Petrol,Manual,459181
Volkswagen Polo,Volkswagen,Polo,2014,104372,CNG,Manual,328052
Kia Seltos,Kia,Seltos,2010,133506,CNG,Manual,865038
Hyundai i10,Hyundai,i10,2013,121439,Petrol,Manual,389156
Honda Amaze,Honda,Amaze,2009,109663,Diesel,Manual,987241
Toyota Innova,Toyota,Innova,2022,110100,CNG,Manual,1132384
Honda Jazz,Honda,Jazz,2006,194483,CNG,Automatic,1094339
Ford EcoSport,Ford,EcoSport,2017,61586,CNG,Automatic,208103
Kia Sonet,Kia,Sonet,2011,50986,Diesel,Manual,709466
Ford EcoSport,Ford,EcoSport,2009,100071,Diesel,Manual,1026034
Volkswagen Vento,Volkswagen,Vento,2009,49703,Diesel,Manual,1067190
Kia Sonet,Kia,Sonet,2010,186444,Petrol,Manual,1100114
Kia Seltos,Kia,Seltos,2014,114388,Diesel,Automatic,229443
Tata Tiago,Tata,Tiago,2019,65924,CNG,Manual,1253631
Tata Altroz,Tata,Altroz,2016,117118,Petrol,Manual,399227
Kia Seltos,Kia,Seltos,2011,94780,Diesel,Manual,710123
Hyundai i10,Hyundai,i10,2010,41128,CNG,Automatic,755337
Hyundai i10,Hyundai,i10,2016,23506,Petrol,Manual,1156554
Honda City,Honda,City,2005,106899,Petrol,Manual,50000
Kia Seltos,Kia,Seltos,2020,68830,Diesel,Automatic,1061959
Hyundai Verna,Hyundai,Verna,2015,72333,Petrol,Automatic,1103655
Hyundai Verna,Hyundai,Verna,2014,97967,CNG,Manual,468665
Maruti Alto,Maruti,Alto,2013,165182,Diesel,Automatic,950287
Toyota Innova,Toyota,Innova,2008,108838,Diesel,Automatic,50000
Kia Sonet,Kia,Sonet,2012,85527,Petrol,Automatic,247463
Renault Duster,Renault,Duster,2013,153234,CNG,Manual,1077692
Hyundai Creta,Hyundai,Creta,2023,119929,CNG,Manual,244284
Honda Amaze,Honda,Amaze,2005,103875,Diesel,Automatic,176895
Renault Duster,Renault,Duster,2012,181401,CNG,Manual,1211897
Honda Amaze,Honda,Amaze,2022,46836,CNG,Automatic,423966
Maruti Alto,Maruti,Alto,2005,75968,Petrol,Manual,132271
Volkswagen Polo,Volkswagen,Polo,2009,25390,CNG,Manual,447638
Maruti Baleno,Maruti,Baleno,2010,78889,Petrol,Manual,347901
Maruti Baleno,Maruti,Baleno,2009,129278,Petrol,Automatic,300394
Tata Altroz,Tata,Altroz,2012,144577,CNG,Automatic,92262
Volkswagen Vento,Volkswagen,Vento,2006,53687,CNG,Automatic,257963
Kia Sonet,Kia,Sonet,2008,48290,Diesel,Automatic,966392
Hyundai Creta,Hyundai,Creta,2011,116073,Petrol,Manual,883354
Renault Kwid,Renault,Kwid,2014,115247,Petrol,Manual,838039
Ford Endeavour,Ford,Endeavour,2012,101905,Petrol,Manual,295307
Hyundai Verna,Hyundai,Verna,2008,158781,Petrol,Manual,1100399
Honda City,Honda,City,2012,123515,Diesel,Manual,734807
Kia Seltos,Kia,Seltos,2011,118215,Petrol,Manual,1029024
Tata Tiago,Tata,Tiago,2023,56981,CNG,Manual,393502
Renault Duster,Renault,Duster,2010,196376,CNG,Automatic,50000
Renault Kwid,Renault,Kwid,2022,96086,Diesel,Automatic,1028767
Honda Amaze,Honda,Amaze,2008,133681,CNG,Automatic,847843
Volkswagen Vento,Volkswagen,Vento,2019,149290,Petrol,Automatic,950540
Renault Duster,Renault,Duster,2007,96873,CNG,Manual,1079298
Tata Tiago,Tata,Tiago,2005,30698,CNG,Manual,329725
Tata Nexon,Tata,Nexon,2009,50909,Petrol,Automatic,1123717
Kia Sonet,Kia,Sonet,2020,26079,CNG,Manual,619124
Tata Nexon,Tata,Nexon,2023,140401,Diesel,Automatic,914495
Mahindra XUV300,Mahindra,XUV300,2021,183476,Diesel,Automatic,1286566
Kia Sonet,Kia,Sonet,2023,127268,Diesel,Automatic,504239
Hyundai Creta,Hyundai,Creta,2022,127037,CNG,Automatic,814645
Ford Endeavour,Ford,Endeavour,2005,21686,Petrol,Manual,914833
Volkswagen Vento,Volkswagen,Vento,2014,198104,Diesel,Manual,300082
Kia Sonet,Kia,Sonet,2017,123899,CNG,Manual,660242
Mahindra Scorpio,Mahindra,Scorpio,2017,7124,Diesel,Automatic,918333
Ford Endeavour,Ford,Endeavour,2005,158181,Petrol,Manual,850260
Hyundai Creta,Hyundai,Creta,2020,153000,Diesel,Automatic,773658
Mahindra XUV500,Mahindra,XUV500,2010,163417,CNG,Manual,763884
Renault Duster,Renault,Duster,2015,68771,Diesel,Manual,714099
Volkswagen Vento,Volkswagen,Vento,2009,120591,CNG,Manual,845305
Ford Endeavour,Ford,Endeavour,2023,122372,Diesel,Manual,546200
Volkswagen Vento,Volkswagen,Vento,2011,17307,Diesel,Manual,1078194
Ford EcoSport,Ford,EcoSport,2023,187924,CNG,Automatic,515835
Toyota Glanza,Toyota,Glanza,2017,186559,Petrol,Manual,491998
Renault Kwid,Renault,Kwid,2010,103675,Diesel,Automatic,171276
Honda City,Honda,City,2014,49451,Diesel,Manual,295718
Mahindra XUV500,Mahindra,XUV500,2009,26273,Petrol,Automatic,193637
Maruti WagonR,Maruti,WagonR,2009,8403,CNG,Manual,1243246
Toyota Fortuner,Toyota,Fortuner,2016,29122,CNG,Automatic,1113755
Toyota Fortuner,Toyota,Fortuner,2006,21129,Diesel,Automatic,385228
Honda Jazz,Honda,Jazz,2011,45728,CNG,Automatic,1163626
Renault Kwid,Renault,Kwid,2023,184386,Diesel,Automatic,1014883
Honda Jazz,Honda,Jazz,2005,159016,CNG,Manual,50000
Renault Kwid,Renault,Kwid,2022,178018,CNG,Manual,1222250
Volkswagen Polo,Volkswagen,Polo,2006,152142,Diesel,Manual,491278
Toyota Glanza,Toyota,Glanza,2007,93003,CNG,Manual,837275
Ford Endeavour,Ford,Endeavour,2018,91535,CNG,Automatic,395592
Volkswagen Polo,Volkswagen,Polo,2022,74058,Petrol,Manual,968476
Tata Nexon,Tata,Nexon,2022,150948,Diesel,Automatic,936521
Hyundai i20,Hyundai,i20,2015,102315,Diesel,Automatic,915310
Renault Kwid,Renault,Kwid,2022,9957,Petrol,Automatic,709540
Renault Duster,Renault,Duster,2019,117385,Diesel,Manual,1022619
Honda Amaze,Honda,Amaze,2017,199961,Petrol,Manual,1194910
Kia Sonet,Kia,Sonet,2013,82221,Diesel,Manual,147959
Mahindra Scorpio,Mahindra,Scorpio,2019,152036,Petrol,Manual,829030
Renault Duster,Renault,Duster,2015,82394,Diesel,Automatic,1103706
Honda City,Honda,City,2023,180789,CNG,Manual,800718
Mahindra XUV300,Mahindra,XUV300,2005,180856,CNG,Manual,877622
Toyota Fortuner,Toyota,Fortuner,2006,9313,CNG,Manual,1156105
Hyundai Verna,Hyundai,Verna,2010,25339,Diesel,Manual,443562
Hyundai Verna,Hyundai,Verna,2005,42060,Petrol,Automatic,50000
Mahindra Scorpio,Mahindra,Scorpio,2020,113431,CNG,Automatic,735022
Tata Nexon,Tata,Nexon,2009,166162,Petrol,Automatic,364859
